Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank
S01001987,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,868,741,1.88,6479,2,15,6349,1,10,6473,-1.78,6428,-1.74,6379,34.91,804,3.45,5714,166,4564
S01001988,230,"Edinburgh, City of","Edinburgh, City of - Forrester Park and Broomhall",Edinburgh,741,464,14.75,3672,14,105,2707,9,40,3869,0.06,3035,-0.45,4406,22.17,1919,11.01,4122,295,3190
S01001989,230,"Edinburgh, City of","Edinburgh, City of - Prestonfield",Edinburgh,929,543,4.92,5957,4,40,5423,4,25,5623,-1.11,5859,-0.91,5512,10.69,4695,19.94,2685,,6291
S01001990,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,1010,774,1.69,6484,1,15,6417,1,10,6476,-1.85,6454,-1.3,6046,23.36,1756,5.81,5206,124,5119
S01001991,230,"Edinburgh, City of","Edinburgh, City of - Carrick Knowe",Edinburgh,746,503,15.15,3585,14,105,2721,8,40,4034,-0.03,3303,-0.28,3943,28.41,1233,12.29,3887,391,2444
S01001992,230,"Edinburgh, City of","Edinburgh, City of - Dalkeith Rd",Edinburgh,1088,608,5.17,5890,4,45,5454,6,35,4937,-1.35,6169,-0.96,5597,20.67,2160,6.73,5023,238,3726
S01001993,230,"Edinburgh, City of","Edinburgh, City of - Merchiston and Greenhill",Edinburgh,763,531,1.72,6483,2,15,6352,3,15,6263,-1.38,6210,-1.99,6463,9.92,4901,6.48,5077,203,4098
S01001994,230,"Edinburgh, City of","Edinburgh, City of - Shandon",Edinburgh,1056,893,4.04,6170,5,50,5240,4,35,5830,-1.22,6020,-1.36,6102,26.98,1366,4.76,5424,180,4383
S01001995,230,"Edinburgh, City of","Edinburgh, City of - South Gyle",Edinburgh,689,519,6.01,5669,4,25,5585,3,15,6134,-1.5,6289,-0.63,4890,24.75,1610,31.39,1514,,5974
S01001996,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,942,847,2.34,6451,2,25,6161,2,20,6298,-2.03,6485,-1.04,5731,34.41,834,0.03,6504,186,4322
S01001997,230,"Edinburgh, City of","Edinburgh, City of - Gorgie West",Edinburgh,859,597,17.91,3088,13,115,2840,12,70,2957,-0.05,3351,0.12,2914,27.42,1324,7.92,4752,593,1407
S01001998,230,"Edinburgh, City of","Edinburgh, City of - Carrick Knowe",Edinburgh,724,480,13.36,3966,13,95,2922,8,35,4343,-0.74,5174,-0.38,4224,17.46,2839,25.6,2018,328,2918
S01001999,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,805,701,2.04,6466,2,20,6143,2,15,6420,-2.23,6496,-0.9,5499,30.21,1101,1.71,6127,77,5741
S01002000,230,"Edinburgh, City of","Edinburgh, City of - Jewel, Brunstane and Newcraighall",Edinburgh,737,464,19.72,2790,13,95,2945,13,60,2774,0.23,2581,0.54,1918,24.93,1593,8.41,4638,442,2119
S01002001,230,"Edinburgh, City of","Edinburgh, City of - Gorgie East",Edinburgh,833,718,12.65,4105,10,80,3712,9,65,3755,-1.08,5820,0.23,2625,83.55,22,3.83,5629,100,5441
S01002002,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,935,809,1.79,6481,1,10,6460,1,10,6483,-2.75,6505,-1.74,6382,44.31,482,3.49,5705,121,5155
S01002003,230,"Edinburgh, City of","Edinburgh, City of - Jewel, Brunstane and Newcraighall",Edinburgh,859,585,14.65,3697,10,90,3555,9,55,3745,-0.25,3882,-0.22,3770,14.04,3741,34.23,1331,207,4056
S01002004,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,797,648,8.08,5161,7,55,4521,6,40,4715,-1.32,6136,-0.64,4922,49.81,341,7.11,4927,305,3104
S01002005,230,"Edinburgh, City of","Edinburgh, City of - Stenhouse",Edinburgh,807,514,26.83,1893,18,140,1955,20,100,1496,0.33,2327,0.3,2466,23.12,1786,21.2,2530,451,2063
S01002006,230,"Edinburgh, City of","Edinburgh, City of - Jewel, Brunstane and Newcraighall",Edinburgh,969,655,14.73,3674,13,125,2887,8,50,4219,-0.64,4949,0.42,2167,11.83,4377,15.12,3394,368,2605
S01002007,230,"Edinburgh, City of","Edinburgh, City of - Gorgie West",Edinburgh,1246,1132,9.87,4772,6,75,4793,7,80,4502,-0.81,5328,0,3172,82.87,25,3.45,5715,210,4013
S01002008,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,918,756,2.43,6440,3,25,6137,3,20,6142,-1.58,6346,-1.36,6103,30.82,1053,0.73,6360,213,3984
S01002009,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,871,658,2.13,6459,3,25,6099,3,20,6235,-1.74,6411,-1.49,6233,29.79,1135,2.72,5892,129,5051
S01002010,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,586,495,3.07,6350,3,15,6074,2,10,6316,-2.33,6498,-0.9,5495,19.65,2367,11.26,4074,194,4203
S01002011,230,"Edinburgh, City of","Edinburgh, City of - South Gyle",Edinburgh,1089,775,5.91,5692,4,45,5487,3,20,6208,-1.09,5822,-0.83,5333,7.54,5419,35.71,1240,76,5753
S01002012,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,935,769,4.38,6077,5,45,5163,3,25,6201,-1.47,6268,-0.66,4977,35.22,777,3.48,5709,177,4416
S01002013,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,718,479,3.7,6246,4,30,5419,3,20,6055,-1.67,6388,-1.76,6389,23.87,1697,5.2,5327,345,2783
S01002014,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,811,650,3.33,6299,3,20,6077,3,20,6136,-0.95,5611,-1.23,5967,37.73,681,2.51,5947,230,3816
S01002015,230,"Edinburgh, City of","Edinburgh, City of - South Gyle",Edinburgh,886,519,3.5,6276,3,25,6004,4,20,5867,-1.32,6140,-0.67,4989,10.44,4764,9.84,4356,150,4768
S01002016,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,718,627,4.28,6108,4,30,5592,4,20,5986,-2.08,6488,-0.57,4698,38.36,661,4.11,5563,173,4478
S01002017,230,"Edinburgh, City of","Edinburgh, City of - Bingham, Magdalene and the Christians",Edinburgh,1078,575,76.88,45,37,405,147,42,245,48,2.05,53,2,32,34.35,837,18.16,2917,729,945
S01002018,230,"Edinburgh, City of","Edinburgh, City of - Forrester Park and Broomhall",Edinburgh,732,415,8.67,5027,8,60,4183,8,30,4249,-0.72,5134,-0.68,5015,12.62,4168,12.02,3941,156,4695
S01002019,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,947,840,1.98,6469,2,15,6381,1,10,6464,-2.21,6494,-1.52,6261,36.29,736,6.73,5026,100,5438
S01002020,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,516,482,3.82,6215,2,10,6252,2,10,6295,-2.23,6497,-0.45,4408,73.31,55,1.31,6223,119,5181
S01002021,230,"Edinburgh, City of","Edinburgh, City of - Stenhouse",Edinburgh,1027,624,23.78,2230,16,170,2177,14,90,2456,0.46,1972,0.42,2171,23.83,1701,25.18,2067,238,3721
S01002022,230,"Edinburgh, City of","Edinburgh, City of - Kirkliston",Ratho Station,976,652,17.23,3193,9,90,3846,8,55,4108,-0.14,3602,-0.15,3574,22.61,1842,48.11,693,766,863
S01002023,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,810,684,2.97,6368,3,25,5952,3,20,6225,-1.65,6383,-1.36,6107,30.79,1055,0.34,6453,371,2583
S01002024,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,767,621,3.83,6209,5,40,5146,5,30,5502,-1.18,5968,-1.64,6321,26.39,1433,2.23,6023,,6056
S01002025,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,951,822,12.87,4065,7,65,4509,7,60,4365,-0.22,3792,0.42,2176,75.72,50,7.07,4936,196,4170
S01002026,230,"Edinburgh, City of","Edinburgh, City of - Carrick Knowe",Edinburgh,714,379,4.17,6135,4,30,5459,3,15,6025,-0.95,5592,-1.5,6247,13.96,3770,12.24,3900,248,3611
S01002027,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,1069,968,5.37,5847,4,50,5361,4,35,5911,-1.23,6038,-0.64,4913,49.47,352,1.61,6156,371,2586
S01002028,230,"Edinburgh, City of","Edinburgh, City of - Dalkeith Rd",Edinburgh,2574,2400,3.6,6256,1,35,6415,1,20,6492,-2.02,6481,-0.41,4307,55.43,234,4.46,5482,177,4421
S01002029,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,776,670,2.62,6415,2,20,6156,2,10,6447,-2.44,6501,-0.9,5507,46.56,431,5.04,5360,66,5890
S01002030,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,865,749,9.68,4806,7,60,4464,8,60,4238,-1.07,5790,-0.29,3972,81.45,32,2.92,5843,216,3950
S01002031,230,"Edinburgh, City of","Edinburgh, City of - Gorgie West",Edinburgh,774,594,22.4,2388,16,125,2289,14,80,2594,-0.9,5499,1.01,873,57.06,210,4.77,5422,517,1737
S01002032,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,920,747,5.81,5714,8,70,4245,5,40,5367,-1.17,5934,-1.3,6053,32.81,919,3.77,5646,101,5432
S01002033,230,"Edinburgh, City of","Edinburgh, City of - Gorgie East",Edinburgh,946,833,21.23,2564,12,110,3209,14,115,2582,-0.44,4432,1.03,841,78.09,40,1.46,6187,513,1758
S01002034,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,1254,1112,4.66,6015,4,50,5626,4,40,5959,-1.48,6275,-0.48,4492,52.37,296,4.89,5395,98,5467
S01002035,230,"Edinburgh, City of","Edinburgh, City of - Carrick Knowe",Edinburgh,684,419,8.81,4998,7,45,4527,6,25,5019,-0.75,5200,-0.85,5392,18.26,2657,31.93,1480,89,5576
S01002036,230,"Edinburgh, City of","Edinburgh, City of - Gorgie West",Edinburgh,965,850,14.86,3651,10,95,3634,10,80,3659,-0.49,4574,0.51,1990,90.18,14,1.64,6144,240,3696
S01002037,230,"Edinburgh, City of","Edinburgh, City of - Marchmont East and Sciennes",Edinburgh,710,607,6.44,5572,5,30,5356,4,20,5889,-1.81,6438,0.14,2851,48.53,369,3.57,5689,174,4457
S01002038,230,"Edinburgh, City of","Edinburgh, City of - Marchmont West",Edinburgh,783,656,3.14,6337,3,20,6049,2,15,6443,-2.11,6491,-1.12,5841,44.17,486,5.38,5293,267,3432
S01002039,230,"Edinburgh, City of","Edinburgh, City of - Willowbrae and Duddingston Village",Edinburgh,580,335,10.95,4505,7,40,4403,9,30,3826,-0.86,5428,-0.7,5066,19.97,2302,23.46,2255,400,2381
S01002040,230,"Edinburgh, City of","Edinburgh, City of - Polwarth",Edinburgh,759,629,10.48,4620,7,55,4491,6,35,4953,-0.23,3833,0.09,2993,63.16,150,2.25,6013,221,3894
S01002041,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,1009,835,8.03,5176,6,65,4660,6,50,4762,-0.22,3798,-0.9,5496,34.86,809,2.54,5941,224,3865
S01002042,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,912,458,12.19,4209,11,100,3382,8,35,4122,-0.11,3511,-0.68,5022,18.42,2615,3.13,5799,605,1362
S01002043,230,"Edinburgh, City of","Edinburgh, City of - Balgreen and Roseburn",Edinburgh,708,456,8.96,4962,8,55,4279,6,30,4757,-0.43,4402,-0.33,4084,13.78,3841,11.63,4009,160,4646
S01002044,230,"Edinburgh, City of","Edinburgh, City of - Bingham, Magdalene and the Christians",Edinburgh,701,442,54.71,363,36,250,213,28,125,503,0.9,987,1.43,317,40.11,607,13.69,3646,722,968
S01002045,230,"Edinburgh, City of","Edinburgh, City of - South Gyle",Edinburgh,1072,560,12.83,4072,12,125,3200,8,40,4344,0.08,2980,-0.34,4123,10.39,4776,9.62,4397,337,2851
S01002046,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,622,564,26.71,1904,16,100,2204,18,105,1691,0.09,2968,0.53,1934,78.01,42,2.58,5933,1144,339
S01002047,230,"Edinburgh, City of","Edinburgh, City of - Bruntsfield",Edinburgh,856,601,8.33,5120,9,80,3774,4,30,5597,-0.17,3665,-0.92,5548,35.19,779,2.38,5973,194,4205
S01002048,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,895,801,4.8,5985,4,40,5368,3,20,6268,-1.34,6167,-0.84,5378,49.31,358,0.92,6313,444,2108
S01002049,230,"Edinburgh, City of","Edinburgh, City of - Dalkeith Rd",Edinburgh,1143,1004,8.06,5166,7,75,4594,6,65,4866,-0.75,5195,-0.49,4511,56.11,220,1.53,6175,234,3769
S01002050,230,"Edinburgh, City of","Edinburgh, City of - Duddingston",Edinburgh,764,405,11.52,4370,7,55,4376,10,40,3550,-0.57,4776,-0.32,4046,8.09,5316,18.08,2932,351,2734
S01002051,230,"Edinburgh, City of","Edinburgh, City of - Bingham, Magdalene and the Christians",Edinburgh,784,454,33.04,1353,21,165,1398,20,90,1502,0.81,1174,0.71,1487,44.38,480,12.99,3766,707,1008
S01002052,230,"Edinburgh, City of","Edinburgh, City of - Gorgie East",Edinburgh,963,861,14.69,3687,10,100,3482,10,90,3519,0,3238,-0.11,3475,82.18,28,2.14,6044,238,3720
S01002053,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,1040,923,3.39,6290,3,35,5873,3,30,6145,-1.93,6470,-0.84,5366,45.79,443,1.64,6143,189,4285
S01002054,230,"Edinburgh, City of","Edinburgh, City of - Dalkeith Rd",Edinburgh,778,650,5.95,5681,5,40,5029,5,35,5169,-1.72,6404,-0.61,4825,32.41,944,9.07,4517,121,5164
S01002055,230,"Edinburgh, City of","Edinburgh, City of - Joppa",Edinburgh,962,695,6.94,5443,5,45,5215,4,30,5848,-1.42,6239,-0.48,4487,3.87,6120,35,1279,118,5193
S01002056,230,"Edinburgh, City of","Edinburgh, City of - Balgreen and Roseburn",Edinburgh,917,522,13.24,3993,11,105,3236,9,45,3937,0.17,2737,-0.51,4551,14.97,3488,13.57,3675,146,4820
S01002057,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,827,521,4.92,5956,4,35,5548,5,25,5350,-0.8,5309,-1.22,5958,8.62,5207,8.4,4643,344,2785
S01002058,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,928,815,21.26,2562,12,115,3026,14,120,2398,-0.37,4237,0.85,1213,90.57,12,6.9,4982,377,2542
S01002059,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,801,686,19.31,2868,11,90,3223,12,85,2942,-0.17,3659,0.61,1714,67.65,101,1.86,6093,709,1000
S01002060,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,769,701,7.62,5268,5,35,5244,4,30,5680,-0.75,5207,0,3179,55.12,244,1.75,6119,333,2889
S01002061,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,850,745,11.68,4335,10,85,3650,8,65,3996,-1.08,5819,-0.19,3673,54.75,249,0.53,6402,476,1935
S01002062,230,"Edinburgh, City of","Edinburgh, City of - Bingham, Magdalene and the Christians",Edinburgh,606,375,33.52,1317,21,130,1371,23,85,1043,0.71,1371,0.66,1586,47.84,384,11.72,3989,335,2863
S01002063,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,1229,1095,10.7,4567,7,90,4378,7,85,4349,-0.61,4861,-0.2,3707,52.55,291,0.5,6409,554,1587
S01002064,230,"Edinburgh, City of","Edinburgh, City of - Gorgie East",Edinburgh,1226,1055,15.35,3537,12,150,3043,10,105,3424,-0.69,5059,0.51,1977,30.2,1102,2.82,5868,342,2808
S01002065,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,864,717,7.28,5360,7,60,4504,6,45,4841,-1.78,6426,-0.54,4628,35.47,770,1.6,6160,326,2936
S01002066,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,1036,821,15.98,3408,8,85,4070,9,75,3731,-0.3,4038,0.24,2601,64.97,133,2.58,5932,1230,281
S01002067,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,762,439,9.08,4938,9,65,4027,6,30,4749,-0.3,4053,-0.42,4328,17.18,2908,0.98,6297,300,3147
S01002068,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,1126,1011,17.41,3165,10,115,3529,11,110,3260,-0.03,3321,0.53,1941,83.15,23,1.04,6285,449,2071
S01002069,230,"Edinburgh, City of","Edinburgh, City of - Balgreen and Roseburn",Edinburgh,609,370,7.3,5355,5,35,5020,7,30,4401,-0.57,4770,-1.17,5908,6.65,5593,13.09,3745,258,3520
S01002070,230,"Edinburgh, City of","Edinburgh, City of - Southside and Canongate",Edinburgh,661,549,15.39,3523,14,95,2608,11,60,3353,-0.7,5077,0.02,3143,47.58,397,4.15,5555,301,3141
S01002071,230,"Edinburgh, City of","Edinburgh, City of - Meadows",Edinburgh,725,613,7.59,5282,6,40,4942,5,25,5554,-0.52,4641,-0.67,4983,51.11,314,0.92,6308,550,1602
S01002072,230,"Edinburgh, City of","Edinburgh, City of - Balgreen and Roseburn",Edinburgh,1169,696,4.39,6075,4,50,5463,3,20,6238,-0.67,5010,-1.1,5814,10.37,4785,13.53,3684,204,4085
S01002073,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,812,702,21.3,2555,13,105,2909,16,110,2182,-0.06,3383,0.46,2093,90.54,13,2.27,6007,568,1546
S01002074,230,"Edinburgh, City of","Edinburgh, City of - Duddingston",Edinburgh,646,377,3.83,6211,4,25,5687,5,20,5329,-1.18,5959,-1.11,5819,4.55,5984,8.55,4611,144,4840
S01002075,230,"Edinburgh, City of","Edinburgh, City of - Balgreen and Roseburn",Edinburgh,929,705,8.14,5150,7,70,4344,5,35,5362,-0.77,5259,-0.26,3902,35.16,780,3.37,5729,314,3038
S01002076,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,953,824,19.14,2888,13,120,2932,11,90,3291,0.03,3126,0.09,2981,70.94,72,0.63,6379,1192,303
S01002077,230,"Edinburgh, City of","Edinburgh, City of - East Craigs",Edinburgh,824,497,5.17,5892,4,35,5492,3,15,6088,-0.62,4885,-1.31,6057,5.96,5719,24.01,2191,125,5104
S01002078,230,"Edinburgh, City of","Edinburgh, City of - Ratho, Gogarburn and Airport",Edinburgh,1028,645,10.74,4560,5,55,5052,8,55,4178,-0.96,5618,-0.61,4828,12.38,4234,35.43,1254,495,1836
S01002079,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,977,827,21.61,2498,16,155,2311,14,110,2612,-0.4,4306,0.8,1289,54,261,6.1,5153,406,2343
S01002080,230,"Edinburgh, City of","Edinburgh, City of - Duddingston",Edinburgh,914,481,4.64,6020,2,20,6169,5,20,5551,-0.7,5071,-1.02,5705,7.28,5471,9.84,4353,419,2253
S01002081,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,860,722,16.04,3393,10,90,3488,9,65,3899,-0.27,3963,0.75,1410,36.44,727,3.93,5606,435,2156
S01002082,230,"Edinburgh, City of","Edinburgh, City of - Dean, West End and West Coates",Edinburgh,933,657,6.11,5649,7,65,4457,4,25,5938,-0.55,4704,-0.49,4528,9.94,4894,7.01,4955,123,5130
S01002083,230,"Edinburgh, City of","Edinburgh, City of - Bingham, Magdalene and the Christians",Edinburgh,549,305,34.63,1253,22,120,1321,22,65,1144,0.61,1611,1,884,32.35,950,23.54,2245,137,4947
S01002084,230,"Edinburgh, City of","Edinburgh, City of - Dalry and Fountainbridge",Edinburgh,1048,909,10.48,4623,8,80,4238,6,50,5120,-1.31,6128,0.17,2785,44.95,458,0.96,6301,735,926
S01002085,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,993,930,8.88,4983,5,50,5235,7,70,4488,-1.1,5849,0.18,2739,49.94,338,0.08,6498,297,3174
S01002086,230,"Edinburgh, City of","Edinburgh, City of - Southside and Canongate",Edinburgh,685,609,16.28,3355,11,75,3438,11,60,3366,-0.41,4352,-0.35,4152,66.48,117,2.64,5914,1382,209
S01002087,230,"Edinburgh, City of","Edinburgh, City of - Southside and Canongate",Edinburgh,1022,806,24.62,2131,17,175,2057,16,130,2063,0.24,2565,0.24,2607,42.19,539,2.5,5949,1103,370
S01002088,230,"Edinburgh, City of","Edinburgh, City of - Joppa",Edinburgh,927,494,10.4,4644,8,70,4305,7,35,4494,-0.31,4083,-0.7,5069,10.62,4722,27.63,1811,179,4392
S01002089,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,954,586,2.35,6449,2,20,6201,4,20,5898,-0.99,5673,-1.69,6353,5.46,5809,8.13,4701,98,5476
S01002090,230,"Edinburgh, City of","Edinburgh, City of - Joppa",Edinburgh,1096,595,12.21,4205,9,95,3938,8,45,4240,-0.03,3317,-0.61,4808,14.38,3644,26.14,1961,210,4014
S01002091,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,1184,1081,17.58,3140,8,90,4318,7,80,4517,-0.59,4826,1.3,459,55.4,238,2.64,5915,719,973
S01002092,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,904,502,5.63,5773,3,30,5805,6,30,4829,-0.44,4448,-1.69,6351,6.41,5642,11.66,3997,252,3579
S01002093,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,1035,906,15.14,3587,11,110,3413,9,85,3696,-0.76,5229,0.33,2383,53.89,262,2.87,5850,700,1027
S01002094,230,"Edinburgh, City of","Edinburgh, City of - Willowbrae and Duddingston Village",Edinburgh,718,443,18.97,2917,13,95,2877,14,60,2569,-0.11,3531,0.23,2638,29.13,1181,17.28,3052,321,2975
S01002095,230,"Edinburgh, City of","Edinburgh, City of - Murrayfield and Ravelston",Edinburgh,697,356,3.44,6285,3,20,5978,4,15,5941,-1.56,6338,-1.28,6025,9.24,5067,16.73,3131,164,4593
S01002096,230,"Edinburgh, City of","Edinburgh, City of - East Craigs",Edinburgh,1311,796,2.54,6429,2,25,6293,2,20,6373,-1.49,6282,-1.42,6180,4.09,6080,15.2,3379,215,3965
S01002097,230,"Edinburgh, City of","Edinburgh, City of - Duddingston",Edinburgh,823,422,3.13,6338,4,30,5655,2,10,6328,-0.87,5442,-1.1,5809,4.99,5897,8.98,4530,151,4756
S01002098,230,"Edinburgh, City of","Edinburgh, City of - Willowbrae and Duddingston Village",Edinburgh,721,379,12.35,4174,11,80,3261,9,30,3912,0.03,3145,-0.83,5335,14.18,3700,10.58,4214,258,3516
S01002099,230,"Edinburgh, City of","Edinburgh, City of - Dean, West End and West Coates",Edinburgh,989,814,5.16,5897,4,35,5754,5,40,5506,-1.38,6197,-0.37,4197,27.11,1356,4.25,5529,274,3370
S01002100,230,"Edinburgh, City of","Edinburgh, City of - Duddingston",Edinburgh,595,370,11.18,4451,9,55,3808,9,35,3756,-0.46,4485,-0.13,3509,12.75,4135,3.49,5704,260,3497
S01002101,230,"Edinburgh, City of","Edinburgh, City of - Southside and Canongate",Edinburgh,1125,885,34.32,1270,21,240,1393,21,185,1338,0.78,1233,0.82,1257,44.67,471,16.31,3197,663,1157
S01002102,230,"Edinburgh, City of","Edinburgh, City of - Northfield",Edinburgh,674,439,35.05,1215,23,155,1165,14,60,2493,0.52,1819,1.59,199,32.67,925,6.46,5084,977,495
S01002103,230,"Edinburgh, City of","Edinburgh, City of - East Craigs",Edinburgh,651,430,4.73,5995,4,25,5759,4,15,5722,-1.03,5723,-1.35,6095,10.08,4854,20.67,2593,206,4065
S01002104,230,"Edinburgh, City of","Edinburgh, City of - Southside and Canongate",Edinburgh,1534,1287,27.19,1852,17,265,1995,16,215,2000,0.55,1748,0.76,1387,52.3,298,8.4,4642,488,1870
S01002105,230,"Edinburgh, City of","Edinburgh, City of - Murrayfield and Ravelston",Edinburgh,1039,620,3.21,6324,2,25,6229,2,10,6448,-1.18,5958,-2.2,6489,4.06,6083,21.65,2473,227,3837
S01002106,230,"Edinburgh, City of","Edinburgh, City of - Old Town and Leith Street",Edinburgh,1140,1049,13.79,3880,6,70,4843,7,70,4619,-0.4,4313,-0.13,3538,70.64,78,2.33,5989,2886,32
S01002107,230,"Edinburgh, City of","Edinburgh, City of - Mountcastle",Edinburgh,547,323,7.57,5284,5,25,5262,4,10,5914,-0.64,4955,-0.05,3320,17.77,2770,11.21,4085,455,2050
S01002108,230,"Edinburgh, City of","Edinburgh, City of - Old Town and Leith Street",Edinburgh,1022,938,21.45,2531,10,105,3590,11,100,3297,0.28,2453,0.53,1923,55,245,6.83,4997,2597,39
S01002109,230,"Edinburgh, City of","Edinburgh, City of - Tollcross",Edinburgh,1147,1025,10.6,4593,4,50,5401,6,55,5094,-0.94,5584,-0.42,4334,51.27,310,4.31,5515,2328,52
S01002110,230,"Edinburgh, City of","Edinburgh, City of - Dean, West End and West Coates",Edinburgh,686,465,2.43,6438,2,10,6378,2,10,6368,-1.25,6056,-2.33,6499,8.59,5219,13.82,3621,242,3679
S01002111,230,"Edinburgh, City of","Edinburgh, City of - Clerwood and Corstorphine (Hillview)",Edinburgh,976,519,3.9,6196,4,40,5424,5,25,5338,-1.19,5978,-1.65,6328,4.3,6027,8.02,4723,179,4396
S01002112,230,"Edinburgh, City of","Edinburgh, City of - Joppa",Edinburgh,1123,678,9.74,4799,6,60,4986,7,50,4382,-0.12,3542,-0.74,5147,12.08,4315,23.98,2194,194,4214
S01002113,230,"Edinburgh, City of","Edinburgh, City of - East Craigs",Edinburgh,686,353,3.52,6272,1,10,6405,3,15,6043,-0.75,5211,-1.33,6070,5.64,5778,19.11,2793,120,5173
S01002114,230,"Edinburgh, City of","Edinburgh, City of - Corstorphine",Edinburgh,642,390,3.16,6335,1,5,6456,3,15,6058,-1.63,6371,-1.71,6368,6.15,5677,22.27,2397,176,4434
S01002115,230,"Edinburgh, City of","Edinburgh, City of - Dean, West End and West Coates",Edinburgh,1115,887,2.75,6397,2,20,6337,2,20,6397,-1.61,6358,-1.42,6181,17.46,2838,5.85,5196,493,1848
S01002116,230,"Edinburgh, City of","Edinburgh, City of - Portobello",Edinburgh,862,521,16.22,3363,14,120,2699,11,55,3354,-0.03,3323,-0.04,3276,18.24,2667,11.65,4000,291,3234
S01002117,230,"Edinburgh, City of","Edinburgh, City of - Old Town and Leith Street",Edinburgh,964,845,19.34,2860,9,85,4004,11,95,3171,-0.1,3479,0.86,1170,64.03,143,7.88,4759,762,875
S01002118,230,"Edinburgh, City of","Edinburgh, City of - Old Town and Leith Street",Edinburgh,1312,1167,23.07,2298,13,170,2931,14,155,2596,0.73,1343,-0.3,4018,53.17,275,3.69,5661,1871,92
