Data Zone,Local Authority Code,Police Force Area,SIMD Crime 2012 rank,SIMD Crime 2012 count,"SIMD Crimes per 10,000 total population",,Notes
S01003620,260,Strathclyde,3954,20,216,,
S01002425,240,Central,3955,19,215,,
S01002315,230,Lothian and Borders,3956,12,215,,
S01002528,240,Central,3957,18,215,,
S01006456,400,Lothian and Borders,3958,38,215,,
S01004542,320,Strathclyde,3959,19,215,,
S01005813,380,Strathclyde,3960,17,215,,
S01004454,310,Strathclyde,3961,19,215,,
S01004347,300,Grampian,3962,18,215,,
S01000261,100,Grampian,3963,20,215,,
S01004502,310,Strathclyde,3964,16,215,,
S01002096,230,Lothian and Borders,3965,28,215,,
S01000236,100,Grampian,3966,14,215,,
S01001120,180,Tayside,3967,13,215,,
S01004036,280,Strathclyde,3968,13,215,,
S01004708,320,Strathclyde,3969,15,214,,
S01003880,270,Northern,3970,19,214,,
S01002205,230,Lothian and Borders,3971,17,214,,
S01002883,250,Fife,3972,23,214,,
S01002712,250,Fife,3973,16,214,,
S01002145,230,Lothian and Borders,3974,26,214,,
S01000662,120,Tayside,3975,14,214,,
S01005157,350,Strathclyde,3976,19,213,,
S01000512,110,Grampian,3977,20,213,,
S01001532,200,Strathclyde,3978,12,213,,
S01003041,260,Strathclyde,3979,16,213,,
S01001521,200,Strathclyde,3980,21,213,,
S01002198,230,Lothian and Borders,3981,20,213,,
S01001225,180,Tayside,3982,18,213,,
S01004509,310,Strathclyde,3983,23,213,,
S01002008,230,Lothian and Borders,3984,20,213,,
S01001130,180,Tayside,3985,16,213,,
S01004593,320,Strathclyde,3986,21,213,,
S01003024,250,Fife,3987,14,213,,
S01000526,110,Grampian,3988,21,213,,
S01001572,210,Lothian and Borders,3989,11,213,,
S01003257,260,Strathclyde,3990,16,213,,
S01000694,120,Tayside,3991,14,212,,
S01002210,230,Lothian and Borders,3992,12,212,,
S01004031,280,Strathclyde,3993,12,212,,
S01000939,170,Dumfries & Galloway,3994,16,212,,
S01005133,340,Tayside,3995,11,212,,
S01002753,250,Fife,3996,14,212,,
S01003950,270,Northern,3997,16,212,,
S01005872,380,Strathclyde,3998,15,212,,
S01001663,210,Lothian and Borders,3999,19,212,,
S01004351,310,Strathclyde,4000,12,211,,
S01000886,150,Central,4001,14,211,,
S01001782,220,Strathclyde,4002,20,211,,
S01000300,110,Grampian,4003,18,211,,
S01002654,250,Fife,4004,16,211,,
S01002384,240,Central,4005,12,211,,
S01001470,200,Strathclyde,4006,19,211,,
S01004979,340,Tayside,4007,18,211,,
S01000508,110,Grampian,4008,19,211,,
S01005994,380,Strathclyde,4009,19,211,,
S01000405,110,Grampian,4010,13,211,,
S01000053,100,Grampian,4011,22,210,,
S01004873,320,Strathclyde,4012,15,210,,
S01002007,230,Lothian and Borders,4013,26,210,,
S01002090,230,Lothian and Borders,4014,23,210,,
S01000471,110,Grampian,4015,17,210,,
S01000879,150,Central,4016,19,210,,
S01002783,250,Fife,4017,26,210,,
S01002419,240,Central,4018,11,209,,
S01005355,350,Strathclyde,4019,18,209,,
S01004181,290,Lothian and Borders,4020,15,209,,
S01004463,310,Strathclyde,4021,15,209,,
S01000012,100,Grampian,4022,29,209,,
S01005352,350,Strathclyde,4023,18,209,,
S01003763,270,Northern,4024,19,209,,
S01000842,150,Central,4025,18,209,,
S01004957,330,Northern,4026,15,209,,
S01001766,220,Strathclyde,4027,14,209,,
S01002637,250,Fife,4028,15,209,,
S01000351,110,Grampian,4029,19,209,,
S01001974,230,Lothian and Borders,4030,18,209,,
S01002511,240,Central,4031,11,208,,
S01002397,240,Central,4032,39,208,,
S01002639,250,Fife,4033,19,208,,
S01001837,230,Lothian and Borders,4034,19,208,,
S01005110,340,Tayside,4035,23,208,,
S01003632,260,Strathclyde,4036,18,208,,
S01005911,380,Strathclyde,4037,25,208,,
S01005341,350,Strathclyde,4038,13,208,,
S01000724,130,Strathclyde,4039,18,208,,
S01002162,230,Lothian and Borders,4040,21,208,,
S01005726,380,Strathclyde,4041,22,208,,
S01005820,380,Strathclyde,4042,12,208,,
S01001356,190,Strathclyde,4043,12,208,,
S01003889,270,Northern,4044,12,208,,
S01006437,400,Lothian and Borders,4045,19,207,,
S01004240,300,Grampian,4046,15,207,,
S01001360,190,Strathclyde,4047,21,207,,
S01003568,260,Strathclyde,4048,16,207,,
S01000457,110,Grampian,4049,17,207,,
S01005993,380,Strathclyde,4050,14,207,,
S01003141,260,Strathclyde,4051,14,207,,
S01006021,380,Strathclyde,4052,22,207,,
S01000994,170,Dumfries & Galloway,4053,23,207,,
S01003594,260,Strathclyde,4054,20,207,,
S01000110,100,Grampian,4055,17,207,,
S01002003,230,Lothian and Borders,4056,18,207,,
S01000850,150,Central,4057,13,207,,
S01000056,100,Grampian,4058,22,206,,
S01006168,390,Central,4059,22,206,,
S01003197,260,Strathclyde,4060,15,206,,
S01003850,270,Northern,4061,10,206,,
S01001080,170,Dumfries & Galloway,4062,14,206,,
S01004854,320,Strathclyde,4063,24,206,,
S01004448,310,Strathclyde,4064,11,206,,
S01002103,230,Lothian and Borders,4065,13,206,,
S01003641,260,Strathclyde,4066,16,206,,
S01004693,320,Strathclyde,4067,16,206,,
S01005579,370,Strathclyde,4068,18,205,,
S01002983,250,Fife,4069,15,205,,
S01006434,400,Lothian and Borders,4070,15,205,,
S01002611,250,Fife,4071,17,205,,
S01001078,170,Dumfries & Galloway,4072,21,205,,
S01000862,150,Central,4073,10,205,,
S01000376,110,Grampian,4074,17,205,,
S01004996,340,Tayside,4075,14,205,,
S01005751,380,Strathclyde,4076,18,205,,
S01005367,355,Lothian and Borders,4077,17,205,,
S01002657,250,Fife,4078,15,205,,
S01002478,240,Central,4079,18,205,,
S01003747,270,Northern,4080,22,205,,
S01004847,320,Strathclyde,4081,18,205,,
S01001030,170,Dumfries & Galloway,4082,15,205,,
S01001602,210,Lothian and Borders,4083,16,204,,
S01002196,230,Lothian and Borders,4084,13,204,,
S01002072,230,Lothian and Borders,4085,24,204,,
S01001326,190,Strathclyde,4086,17,204,,
S01006125,390,Central,4087,17,204,,
S01004336,300,Grampian,4088,19,204,,
S01003359,260,Strathclyde,4089,22,204,,
S01001242,180,Tayside,4090,17,204,,
S01001440,200,Strathclyde,4091,18,203,,
S01002698,250,Fife,4092,16,203,,
S01000087,100,Grampian,4093,22,203,,
S01000601,120,Tayside,4094,25,203,,
S01004173,290,Lothian and Borders,4095,12,203,,
S01005626,370,Strathclyde,4096,16,203,,
S01005753,380,Strathclyde,4097,13,203,,
S01001993,230,Lothian and Borders,4098,15,203,,
S01004574,320,Strathclyde,4099,10,203,,
S01000784,130,Strathclyde,4100,17,203,,
S01005971,380,Strathclyde,4101,9,203,,
S01005650,370,Strathclyde,4102,12,203,,
S01005785,380,Strathclyde,4103,15,203,,
S01005745,380,Strathclyde,4104,21,203,,
S01003622,260,Strathclyde,4105,16,203,,
S01000345,110,Grampian,4106,12,203,,
S01001085,170,Dumfries & Galloway,4107,17,203,,
S01004855,320,Strathclyde,4108,11,203,,
S01006054,380,Strathclyde,4109,14,203,,
S01002409,240,Central,4110,12,203,,
S01002781,250,Fife,4111,18,203,,
S01004342,300,Grampian,4112,14,202,,
S01001690,220,Strathclyde,4113,15,202,,
S01001619,210,Lothian and Borders,4114,14,202,,
S01003890,270,Northern,4115,13,202,,
S01002119,230,Lothian and Borders,4116,12,202,,
S01005150,350,Strathclyde,4117,14,202,,
S01005048,340,Tayside,4118,13,202,,
S01003748,270,Northern,4119,12,202,,
S01001842,230,Lothian and Borders,4120,17,201,,
S01005888,380,Strathclyde,4121,13,201,,
S01000287,110,Grampian,4122,14,201,,
S01004883,320,Strathclyde,4123,37,201,,
S01003979,270,Northern,4124,11,201,,
S01003090,260,Strathclyde,4125,14,201,,
S01004133,290,Lothian and Borders,4126,17,201,,
S01002219,230,Lothian and Borders,4127,14,201,,
S01003560,260,Strathclyde,4128,23,201,,
S01000081,100,Grampian,4129,19,201,,
S01005115,340,Tayside,4130,20,200,,
