id,postcode,latitude,longitude
1349099,DD12JA,56.465021322351800,-2.964086650449630
1349100,DD12JB,56.465508437117800,-2.964991643630870
1349101,DD12JD,56.464488103451500,-2.966799693457820
1349102,DD12JE,56.465012494713000,-2.965222507877350
1349103,DD12JF,56.463964577423900,-2.967110973358410
1349104,DD12JJ,56.464296042580300,-2.966080717152480
1349105,DD12JU,56.465124416337100,-2.963537451001630
1349106,DD12JY,56.465498667185400,-2.963936449798680
1349107,DD12LA,56.465684700988400,-2.966586657370930
1349108,DD12LB,56.465677090143000,-2.965255602583850
1349109,DD12NB,56.466357101346000,-2.964461344249780
1349110,DD12ND,56.467533964309600,-2.964474955839640
1349111,DD12NF,56.468326109670200,-2.965436450087860
1349112,DD12NH,56.468780567134800,-2.965918695149770
1349113,DD12NJ,56.468357369096400,-2.966037796504270
1349114,DD12NL,56.467403160937700,-2.965120868973350
1349115,DD12NN,56.466622673375000,-2.964971221275080
1349116,DD12NP,56.466559688553900,-2.966138211610300
1349117,DD12NS,56.466174832262300,-2.967102249864640
1349118,DD12NU,56.465370798123500,-2.969970727728810
1349119,DD12NX,56.466121940665500,-2.969275753305740
1349120,DD12NY,56.465741890387000,-2.968470796169850
1349121,DD12PA,56.465890043868000,-2.967906514469900
1349122,DD12PB,56.466249345760900,-2.969068006506220
1349123,DD12PD,56.466273389756300,-2.968289565824460
1349124,DD12PE,56.466415708673000,-2.969624076563490
1348625,DD12PF,56.466857635982900,-2.969408115130180
1348626,DD12PH,56.467558794350100,-2.969361062757180
1348627,DD12PJ,56.466915333293600,-2.968922669138140
1348628,DD12PL,56.466385485051400,-2.967740588483970
1348629,DD12PN,56.466822472935900,-2.967005103482030
1348630,DD12PP,56.466550336160800,-2.967339022978870
1348631,DD12PQ,56.467137445045900,-2.971541461666840
1348632,DD12PR,56.467062602629400,-2.968471963592960
1348633,DD12PS,56.467543496195600,-2.967867437590800
1348634,DD12PU,56.467839412455400,-2.969092288746730
